"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"ARHGEF3",50650,"1034633576; 1034633581; 530372569; 530372571; 767923386; 1034633579; 1370484272; 767923384; 9506401; 1034633583; 190885495; 190885497; 1370484274; 576067916; 767923379; 767923382; 1034633585","XP_011532067; XP_016861993; XP_016861994; XP_011532068; XP_011532069; XP_024309315; XP_005265244; XP_011532066; XP_016861991; XP_016861992; XP_024309314; NP_001122088; NP_001122087; XP_005265243; XP_016861995; NP_001276627; NP_062455","Q4FZB6; Q6NUN3; Q9NR81; Q7Z4U2; E9PG37; Q4QQI5; Q4QQQ0; Q7Z5T2; B7Z6B2; Q59F00; A8K5U7; Q9H7T4"
"ARHGEF33",100271715,"1533911199; 290463441","NP_001354552; NP_001138923","A8MVX0; J3KPX2"
"ARHGEF35",445328,"1567426347; 270265795","NP_001003702; NP_001355247","A5YM69; Q6ZUI2"
"ARHGEF37",389337,"1034644926; 83715966; 530380554; 530380552; 578810879; 767937745; 1034644922","XP_005268505; XP_011535944; XP_016864949; XP_016864950; NP_001001669; XP_005268504; XP_006714847","Q6ZW51; A1IGU5"
"ARHGEF38",54848,"8923173; 337298620; 767932166; 578809196; 767932162","XP_011530352; XP_011530353; NP_060170; XP_006714307; NP_001229658","Q9NXL2; C9JIB4"
"ARHGEF39",84904,"1034671651; 767955353; 90652857; 1034671649; 1034671646; 1034671653","XP_016870716; XP_011516359; XP_016870717; XP_016870715; XP_016870714; NP_116207","Q8N4T4; Q96ST6; Q6TPQ2; Q49AG0"
"ARHGEF4",50649,"530369240; 1370477845; 530369225; 767918374; 530369238; 530369242; 15011979; 15011981; 767918364; 767918372; 1034614344; 530369234; 1527146880","XP_005263745; XP_011509579; XP_024308706; NP_127462; XP_005263738; XP_005263742; XP_005263744; XP_011509576; XP_011509578; NP_056135; XP_016859720; XP_005263746; NP_001354422","Q9UPP0; Q9NR80; Q9HDC6; Q9NTG0"
"ARHGEF40",55701,"767980972; 50843837; 512388686; 1034587498; 1034587505; 512388688; 530404161; 1034587501; 1034587503; 767980970","XP_011535239; XP_011535240; NP_001265459; XP_016876923; XP_016876924; NP_060541; XP_016876925; XP_005267901; XP_016876926; NP_001265458","Q9H7L6; Q8TER5; Q9BWP5; Q9NW24; Q9NTF9; A5PL07"
"ARHGEF5",7984,"50959191; 1034656913","NP_005426; XP_016868112","Q12774; Q6ZML7; A6NNJ2"
"ARHGEF6",9459,"530422603; 807201165; 768039524; 768039529; 768039513; 1034675704; 22027525; 768039521; 768039517","XP_005262556; XP_011529717; XP_016885464; NP_001293106; XP_011529714; XP_011529715; XP_011529716; NP_004831; XP_011529718","A6NMW9; Q5JQ66; Q7Z3W1; Q86XH0; B1AL37; Q15052; B7Z3C7; A8K6S7; Q15396; Q8N4Q3"
"ARHGEF7",8874,"578825277; 1034585140; 1370464208; 166064036; 1003701528; 1227523133; 1034585144; 166064038; 1064788210; 1003701532; 1227523201; 1034585152; 1034585158; 1034585168; 1064788212; 1227523167; 1237938173; 1227523104; 767978997; 1034585154; 1237938049; 1237938227; 1034585142; 1034585150; 1034585172; 1227523109; 1227523203; 166064034; 1003701526; 1003701530; 1227523154; 1227523120; 1241781402; 4505573; 1034585156; 1227523131; 1237937774; 1237937895; 1227523159; 22027528","XP_016876303; XP_016876304; XP_016876308; XP_016876309; XP_016876310; XP_016876317; XP_016876318; NP_001106985; NP_001340982; NP_001340983; NP_001340984; NP_001340988; XP_011519435; NP_001340976; NP_001340986; NP_003890; XP_006720019; XP_016876312; NP_001307780; NP_001317527; NP_001340980; NP_001317526; NP_001340977; NP_001340979; XP_016876311; NP_001340975; NP_001340990; NP_001106983; NP_663788; XP_016876305; NP_001340985; XP_024305196; NP_001106984; NP_001307781; NP_001307782; NP_001307783; NP_001340978; NP_001340981; NP_001340987; NP_001340989","Q3LIA4; Q6P9G3; B7Z6G2; B1ALK8; Q5W9H0; A0A024RDY9; Q8N3M1; Q86W63; Q5W9H1; B1ALK6; B7Z344; Q6PII2; E9PDQ5; Q14155"
"ARHGEF9",23229,"1034673857; 291045192; 291045194; 1222014525; 1591612582; 1591612712; 768037508; 1034673845; 1034673849; 1370516049; 1222013749; 1222016956; 1591612785; 1034673871; 1222017085; 1591612602; 530421710; 530421712; 1222016834; 1222019779; 1591612787; 1591612710; 1034673869; 1370516043; 1591612789; 7662108; 768037514; 1034673859; 1222010882; 1591612586; 1591612683; 1591612745; 1591612765; 1591612610; 1034673847; 1034673867; 1034673873; 1370516039; 1059842857; 1591612596; 1034673841; 1034673861; 1591612598; 1591612592; 1591612716","XP_016884857; NP_001340856; NP_001355970; XP_016884866; NP_001340850; NP_001340853; NP_001355959; NP_001355960; NP_001355967; NP_001355969; NP_001355963; NP_001355965; NP_001355971; XP_016884853; NP_001340852; NP_001355962; NP_001355973; XP_011529192; XP_016884856; XP_016884862; XP_016884867; XP_024308124; NP_001317424; NP_001355964; NP_001355966; NP_001355974; XP_016884855; XP_016884863; NP_001166950; NP_001340851; NP_001340855; XP_005262307; XP_005262308; XP_016884861; XP_024308125; NP_001166951; NP_001355961; NP_001355968; NP_001355972; NP_056000; XP_011529194; XP_016884868; XP_016884869; XP_024308126; NP_001340857","A8K1S8; B4DHC7; F8W7P8; B1AMR3; Q5JSL6; O43307"
"ARID1A",8289,"21264575; 21264565","NP_006006; NP_624361","Q8NFD6; Q9HBJ5; Q5T0W2; Q9BY33; D3DPL1; Q9UPZ1; Q96T89; Q5T0W1; O14497; Q53FK9; Q5T0W3"
"ARID1B",57492,"1034651001; 1034651005; 1034651008; 297207099; 1034650999; 1034651014; 1034651010; 1098385818; 1393170109; 297139703; 767943247; 1034651003","XP_011534290; XP_016866598; NP_065783; XP_016866595; NP_059989; XP_011534286; NP_001333742; XP_016866594; NP_001350654; XP_016866593; XP_016866596; XP_016866592","A0A1B0GVK1; Q5JRD1; Q8IZY8; Q9ULI5; Q8NFD5; Q5VYC4; Q99491; Q8TEV0; Q8TF02"
"ARID2",196528,"767973462; 1115538452; 56549668; 578823398","NP_001334768; XP_006719335; NP_689854; XP_011536327; ","Q15KG9; Q6ZRY5; Q68CP9; Q96SJ6; Q5EB51; Q645I3; Q86T28; Q7Z3I5; Q9HCL5"
"ARID3A",1820,"1370474625; 1034606679; 4885193; 1034606683; 530425151; 530425153","XP_005259570; XP_005259571; XP_016881935; XP_024307175; NP_005215; XP_016881934","Q99856; Q6P9C6; Q5I858; Q8IZA7; Q8N4Z3"
"ARID3B",10620,"808154250; 5453638","NP_001294868; NP_006456","Q59HC9; O95443; Q8IVW6; Q6P9C9"
"ARID3C",138715,"1034663808; 62865637","XP_016869772; NP_001017363","A6NKF2"
"ARID4A",5926,"1034587869; 1034587874; 1370465429; 115334677; 115334679; 530404409; 1034587867; 530404411; 115334673; 1034587872; 1370465431; 1034587877; 1034587879","XP_016877052; XP_024305451; NP_002883; XP_016877054; NP_075377; XP_016877050; XP_016877053; NP_075376; XP_016877049; XP_016877051; XP_024305452; XP_005268021; XP_005268022","Q05CG0; A0A024R680; Q15992; A0A024R6A2; P29374; Q15993; Q15991; A0A024R657"
"ARID4B",51742,"1370453450; 578802247; 1370453455; 332164768; 22035677; 767912487; 1034559172; 22035679; ","XP_006711844; NP_112739; XP_016856961; XP_011542514; XP_024303394; NP_057458; XP_024303396; NP_001193723; ","A1L465; Q9P2W4; Q5HY99; Q5T2C3; Q86UX1; Q9NZB6; Q5T2C5; Q9H915; Q9NZG4; Q9UF62; Q5T2C6; Q4LE39; Q5T2C2; A0A024R3R1; Q9Y6E1; Q86WR4; Q9NYU3; Q5T2C4; Q3MHV4; Q6P600"
"ARID5A",10865,"977361217; 977361215; 47078224; 977361210; 1370476582; 1034611116; 1370476584; 977361213; 1034611113; 767916373; 977376791; 977375424","NP_001306014; NP_001306025; NP_001306021; XP_011508801; XP_016858673; NP_001306023; XP_016858672; NP_001306016; NP_997646; NP_001306022; XP_024308331; XP_024308332","Q03989; C9J1Q0; Q6NX37"
"ARID5B",84159,"1370457981; 1370457983; 767964042; 347582593; 74136549","XP_024303998; NP_115575; NP_001231567; XP_011538564; XP_024303999","Q14865; Q7Z3M4; B4DLB3; Q32Q59; Q5VST4; Q6NZ42; Q9H786; Q05DG6; Q8N421"
"ARIH1",25820,"187761373; 767983811; 767983813","NP_005735; XP_011519741; XP_011519740","B2R6U3; O76026; Q9Y4X5; Q9UEN0; Q9UP39; Q9H3T6"
"ARIH2",10425,"955471911; 1154067631; 1154067706; 1154067545; 767922108; 767922115; 1154067466; 1154067424; 1154067431; 1154067517; 1154067462; 1034630682; 1034630688; 5453557; 1370482956; 1370482959; 1370482965; 1154067464; 1154067483; 1154067616; 1154067438; 767922098; 1154067551; 1154067633; 767922096; 767922104; 1154067589; 1154067411; 1154067762; 1154067503; 1154067435; 1034630684; 955471908; 1154067579; 1154067534; 1034630686; 1370482963; 1154067723","XP_011531570; NP_001336159; XP_016861025; NP_001336143; NP_001336149; NP_001336153; NP_001336154; NP_006312; XP_011531569; XP_011531573; NP_001336138; NP_001336140; NP_001336145; NP_001336158; XP_011531575; XP_024309076; XP_024309078; XP_024309079; NP_001304263; NP_001336142; NP_001336146; NP_001336155; XP_016861023; XP_016861024; NP_001336144; XP_011531578; NP_001304262; NP_001336139; NP_001336141; NP_001336147; NP_001336150; NP_001336151; NP_001336152; NP_001336156; NP_001336157; XP_016861022; XP_024309077; NP_001336148","Q9HBZ6; Q53ET9; O95376; Q6IBL8; Q9UEM9"
"ARIH2OS",646450,"176866318; ","NP_001116512; ","Q8N7S6"
"ARL1",400,"4502227; 666638015","NP_001168; NP_001287997","B4DZG7; Q53XB1; B4DWW1; P80417; P40616"
"ARL10",285598,"962606960; 1034644628; 767938320; 27734809; 767938315; 767938318","XP_011532833; XP_011532832; XP_016864861; XP_011532831; NP_001304877; NP_775935","Q6PCE2; Q8N8L6"
"ARL11",115761,"19923979; 530402089","XP_005266310; NP_612459; ","Q969Q4"
"ARL13A",392509,"241982689; 768037734; 768037736","XP_011529253; NP_001155963; XP_011529252","B2RTT6; Q5H913; B4DX50"
"ARL13B",200894,"292658834; 1008806540; 767925993; 767925999; 33598958; 33598956; 578807142; 767925997; 767925991; 1034631701; 292658837","XP_006713595; XP_011510835; NP_001167621; NP_001167622; NP_001308257; XP_011510837; XP_011510836; NP_878899; XP_011510834; XP_016861342; NP_659433","Q3SXY8; D3DN29; G3V1S8; Q504W8; Q8TCL5"
"ARL14",80117,"13376574","NP_079323","Q8N4G2; Q9H655"
"ARL14EP",120534,"530395070; 22748693","NP_689529; XP_005252849","Q5HYH9; Q8N8R7"
"ARL14EPL",644100,"307133705; 1034645694","XP_016865211; NP_001182510","P0DKL9"
"ARL15",54622,"767936152; 1034645334; 767936156; 767936154; 9506653","XP_011541800; XP_011541802; XP_011541801; XP_016865087; NP_061960","Q6IAD0; Q9NXU5"
"ARL16",339231,"91199552; 1045561329; 1045561351","NP_001316537; NP_001035114; NP_001316538; ","Q0P5N6; I3L4Z7"
"ARL17A",51326,"166063999; 571330778; 571330743; 571330748; 530412374; 767994969; 767994964; 1057503182; 767994971; 1034600038; 166064001","XP_011523178; NP_001275741; NP_057716; XP_011523177; XP_016880218; NP_001317173; NP_001107210; NP_001275740; XP_005257496; XP_011523179; NP_001275742","A0A087WVX3; Q59FW5; Q8N6E2; Q8TD73; Q8WW54; A8K0M5; A0A087WY76; Q9NZD5; B0AZR6; Q9P158; I3L3L1; Q8IVW1; I3L1V5"
"ARL17B",100506084,"156938237; 1394533209; 767993140; 767993144; 767993142; 767993150; 767993155; 767993146; 767993148; 1057503219; 157041217; 1209185280; 1370469894","XP_011522462; XP_011522466; XP_024306287; NP_001350734; XP_011522463; NP_001339698; NP_001034172; XP_011522467; NP_001317169; XP_011522465; XP_011522469; NP_001096624; XP_011522464","Q8IVW1; A0A087WY76; Q8TD73; Q9NZD5; A8K0M5; Q8N6E2; B0AZR6; I3L1V5; Q59FW5; Q8WW54; Q9P158; I3L3L1"
"ARL2",402,"315075338; 148612885","NP_001658; NP_001186674","Q53YD8; P36404; Q9BUK8; G3V184"
"ARL2BP",23568,"6912268","NP_036238","Q504R0; Q9Y2Y0; A0A024R6U9; B3KQJ5"
"ARL3",403,"1034568278; 4757774","XP_016871749; NP_004302","P36405; Q53X83; Q5JSM2; B2R6C7"
"ARL4A",10124,"5031603; 81295813; 306482562; 47078227","NP_005729; NP_001182325; NP_997625; NP_001032241","P40617; Q49AF5; P80418; A0A024R9Z2; A4D119"
"ARL4C",10123,"540344578; 6552296","NP_001269360; NP_005728","Q4A519; Q9BVN1; Q53R10; P56559; Q9UQ34; A0A024R4C5"
"ARL4D",379,"767994704; 41327767","XP_011523084; NP_001652","B2RC59; P49703; D3DX43"
"ARL5A",26225,"6912244; 82546838; 82546836","NP_036229; NP_817114; NP_001032251","Q9Y689; Q580I5"
"ARL5B",221079,"530392055; 530392053; 30520350","XP_005252457; XP_005252458; NP_848930","B0YIW9; Q96KC2"
"ARL5C",390790,"221219071","NP_001137440","A6NH57"
"ARL6",84100,"507834146; 1034635944; 1042838835; 14149815; 29826299; 1034635939; 1042838837","NP_001310442; XP_016862800; XP_016862801; NP_115522; NP_816931; NP_001310443; NP_001265222","A8KA93; D3DN31; Q9H0F7"
"ARL6IP1",23204,"924966810; 24308007; ","NP_001300787; NP_055976; ","B7Z6S5; F5GXP4; B7Z791; Q15041; A0A024QYV7"
"ARL6IP4",51329,"507834134; 507834124; 507834132; 507834119; 507834130; 507834126; 507834128","NP_057722; NP_061164; NP_001265309; NP_001002251; NP_001002252; NP_001265307; NP_001265308","Q66PJ3; B3V0L0; A4UCR8; Q4F966; Q96BI2; Q9NR05; B3V0L1; Q9P2R9; Q504R8"
"ARL6IP5",10550,"5453704","NP_006398","B2R6V5; A0A024R371; Q53ES3; Q5KU08; O75915"
"ARL6IP6",151188,"22749091; 1172216001","NP_001336997; NP_689735","Q7Z4G7; B2RDS6; B3KMZ5; Q8N6S5"
"ARL8A",127829,"20270343; 371123783","NP_001243058; NP_620150","Q96BM9; B3KXD0; A0A024R977; A0A087X2J2"
"ARL8B",55207,"8922601","NP_060654","A0A024R2D4; Q9NVJ2; B4DI85"
"ARL9",132946,"1394533225; 578808624; 51011133; 530376740; 530376742","XP_005265777; XP_005265776; NP_996802; XP_006714099; NP_001350723","Q6T311; A0A1W2PS79"
"ARMC1",55156,"530388485; 557878591; 8922479; 1034660805","XP_005251321; XP_016869094; NP_001273631; NP_060590","B4E2W7; Q9H018; Q9H820; Q9NVT9"
"ARMC10",83787,"530386496; 1034657084; 238776795; 767948817; 1034657076; 238776797; 238776801; 767948815; 1034657074; 1034657086; 1034657079; 1034657082; 238776799; 31377663; 238776793","XP_011514904; XP_016868175; NP_001154482; XP_016868174; NP_001154483; NP_001154484; NP_001154481; NP_001154485; XP_016868176; XP_016868178; XP_005250685; NP_114111; XP_011514903; XP_016868173; XP_016868177; ","F5GX65; Q9BTM6; Q8IZC1; A8K703; Q75MG6; H7BXQ8; Q75K91; Q8IZC2; Q8IZC3; B4DWJ8; Q8N2F6; Q75ML8"
"ARMC12",221481,"557440860; 767939461; 1034649016; 767939459; 557440852; 31542280","XP_011512683; XP_011512684; XP_016865924; NP_001273503; NP_001273505; NP_659465","Q5T9G4; Q8NEB2; Q96LL8"
"ARMC2",84071,"530384083; 767943677; 557636665; 767943682; 1034651827; 578812993; 530384085; 767943691; 767943669; 1034651824; 1370508763; 530384089; 578812995; 767943671; 767943673; 148762963","XP_005267212; XP_011534470; XP_016866839; XP_024302336; NP_001273538; XP_011534474; XP_005267214; XP_011534472; NP_115507; XP_016866840; XP_006715637; XP_011534469; XP_006715636; XP_011534478; XP_005267211; XP_011534468; ","A8K8Y4; B4DGF5; Q5VVY8; G5E993; Q8NEN0; Q9H0K9"
"ARMC3",219681,"1034566942; 544346302; 767959755; 189409124; 530392014; 530392012; 544346085; 767959753; 1034566936; 1034566940; 544346148","NP_001269674; NP_001269676; XP_016871320; XP_011517652; XP_011517653; NP_001269675; XP_005252437; XP_005252438; NP_775104; XP_016871321; XP_016871322","B7ZBN7; A0PG76; Q5W041; B4DZL3; B4DXS3; B7ZBN6; Q8N7B0; Q96M49; A6NH64; Q8IXS5"
"ARMC4",55130,"1370457300; 1370457302; 1370457310; 918410291; 1370457296; 1370457308; 31657114; 1370457304; 1370457312; 1370457306; 585866234; 1370457298; 586597899; 1034568638; 767960173; 1370457314","XP_024303824; XP_024303817; XP_024303826; NP_001276949; NP_001276950; XP_024303819; XP_024303822; NP_001299618; XP_016871860; XP_024303823; XP_024303825; NP_060546; XP_011517829; XP_024303821; XP_024303818; XP_024303820","Q5T2S8; A8K906; A0A140VKF7; B7Z7Y0; Q9H0C0; B7Z7I1; B7Z7A1"
"ARMC4P1",101060171,"","","-"
"ARMC5",79798,"685424575; 28875784; 1370469236; 157426856; 571026653; 578828663; 1370469233","NP_001098717; NP_001288749; NP_079018; XP_024306216; XP_024306217; NP_001275696; XP_006721154","B4DIU9; B4DH27; Q86WM9; Q9H925; J3KQ26; Q9H7P8; Q96C12"
"ARMC6",93436,"312836798; 530415365; 1034610136; 1034610132; 15529984","NP_001186125; XP_016882973; NP_219483; XP_016882974; XP_005260214","B4DI98; O94999; Q9BTH5; Q6NXE6"
"ARMC7",79637,"747019205; 747019187; 13375770; 747019234","NP_001291201; NP_078861; NP_001291200; NP_001291202","J3KTE5; Q9H6L4; B4DVA4; J3KST7"
"ARMC8",25852,"1034632366; 47458045; 32526896; 1034632370; 47458043; 388490182; 578807221; 1370483691; 1394533470; 578807223; 578807225; 1034632372; 537361067; 767926246; 767926248; 1034632374; 1034632376; 1370483695; 388476122; 1394533429","XP_016861587; NP_056211; XP_006713628; XP_011510934; XP_016861588; NP_001350871; XP_011510935; XP_016861584; NP_001253971; NP_001350870; NP_054873; XP_006713627; XP_006713629; NP_001269271; NP_998819; XP_016861586; XP_016861589; XP_024309209; XP_024309210; NP_001253970","B7Z453; Q96HZ5; Q8IUR7; Q9NV94; B7Z441; D3DNE6; Q6PIL2; Q96D19; Q9NV02; B7Z637; A8K0L2; Q9Y4R9; F5GWK4"
"ARMC9",80210,"767919942; 767919920; 1034616860; 618466026; 156151430; 767919924; 767919928; 767919914; 767919934; 767919936; 1034616862; 407020535; 1209185324; 1209185331; 1034616866; 767919930; 767919916; 767919918; 767919932; 1209185327; 1209185329; 1209185333; 1209185335; 767919922; 1034616868","XP_011510209; XP_011510212; XP_011510215; NP_001278585; NP_079415; XP_011510214; XP_011510221; XP_016860511; XP_016860514; NP_001339685; NP_001339688; XP_011510208; XP_011510217; NP_001258395; NP_001339683; NP_001339687; XP_011510210; XP_016860510; NP_001339684; XP_011510207; XP_011510211; XP_011510216; XP_011510218; XP_016860513; NP_001339686","A0A087X1I8; Q53TI3; Q96JF9; Q7Z3E5; Q6P162; Q9H9R8; Q86WG2; A0A024R486; Q7L594"
"ARMCX1",51309,"7706143","NP_057692","A0A024RCI6; Q9H2Q0; Q53HK2; Q9P291"
"ARMCX2",9823,"1370525157; 530433295; 530433311; 1034675740; 1034675742; 1034675758; 1370525155; 29540562; 1034675748; 530433297; 768038368; 1034675744; 1034675746; 1034675754; 530433309; 1034675752; 7662162; 530433299; 530433303; 530433307; 1034675760; 530433305; 768038366; 1034675750; 532691767; 1034675756","XP_016885483; XP_016885486; NP_001269160; XP_005278174; NP_055597; NP_808818; XP_016885479; XP_016885480; XP_024308251; XP_005278168; XP_011529374; XP_016885477; XP_011529373; XP_016885476; XP_016885482; XP_016885484; XP_005278166; XP_005278167; XP_005278173; XP_016885485; XP_005278170; XP_005278171; XP_005278172; XP_016885478; XP_016885481; XP_024308252","Q5H9D9; A8K5M7; O60267; A0A024RCG7; Q7L311"
"ARMCX3",51566,"29540566; 530422070; 7705274; 29540564","NP_808817; NP_057691; NP_808816; XP_005262198","Q53HC6; A0A024RCF9; Q9NPE4; Q7LCF5; Q9UH62"
"ARMCX4",100131755,"609876456","NP_001243084; ","F8W8Y7"
"ARMCX5",64860,"274318367; 41054846; 274318377; 274318369; 274318374; 274318363","NP_001161954; NP_073749; NP_001161952; NP_001161950; NP_001161957; NP_001161951","Q9H969; B3KU88; Q68DB4; Q9BVZ3; Q6P1M9; D3DX99"
"ARMCX5-GPRASP2",100528062,"1176461001; 1176460909; 315259097; 1176461113","NP_001186747; NP_001337197; NP_001337198; NP_001337199; ","Q8NAB4; Q96D09; D3DXA0"
"ARMCX6",54470,"57546906; 768037866; 296179416; 34147335","NP_001009584; XP_011529278; NP_001171697; NP_061880; ","Q9NWJ3; Q7L4S7"
"ARMH1",339541,"767904026; 1034558113; 1034558127; 578799021; 767904017; 578799019; 767904021; 1034558125; 767904015; 767904038; 1034558106; 1034558117; 1034558121; 1034558129; 224500884","XP_011539642; XP_011539651; NP_001139108; XP_011539643; XP_011539647; XP_016856631; XP_016856632; XP_016856633; XP_016856635; XP_016856636; XP_006710667; XP_016856629; XP_016856634; XP_011539645; XP_006710666","Q6PIY5; A1KXE5"
"ARMH3",79591,"767963766; 767963768; 767963775; 767963770; 578819773; 1034569491; 1034569494; 154350213; 767963764; 767963777","XP_016872125; XP_011538453; XP_011538455; NP_078817; XP_011538456; XP_011538458; XP_006718032; XP_011538459; XP_011538454; XP_016872124","Q5T2E6; Q9H8Z9; B3KUU6; Q2TB87"
"ARMH4",145407,"1034586301; 994304787; 1034586297; 56711320; 767979819","XP_016876519; NP_001307102; NP_001001872; XP_011534773; XP_016876518","Q86TY3; B2RUU6; A8K8Z8; Q6P5Q1; Q86TY1"
"ARMS2",387715,"153792797; ","NP_001093137","B2Y7I5; P0C7Q2"
"ARMT1",79624,"13375746; 557440760","NP_078849; NP_001273491","Q9H993; Q9UFY5; F5GZY1; Q96FC6; B4DPT6"
"ARNT",405,"767909296; 1034558596; 530364693; 1034558583; 553727240; 4502231; 1034558585; 1176461131; 30795242; 1034558592; 553727242; 1176461133; 530364689; 530364701; 767909294; 1176461135; 1034558575; 1034558579; 1034558594; 309747071; 767909289; 767909298; 1034558577; 1034558581","XP_011507845; XP_011507848; XP_016856777; XP_005245210; XP_016856782; NP_001337155; NP_001659; XP_011507847; XP_016856778; XP_016856779; NP_001184254; NP_001272964; NP_848514; XP_005245214; XP_011507849; XP_016856783; XP_016856784; XP_016856785; NP_001272965; XP_016856780; XP_016856781; NP_001337154; NP_001337153; XP_005245208","Q59ED4; P27540; B2R9H1; Q5QP39; C4AMA1; F8WAP6; Q8NDC7; B0AZM1; Q53F30; A8K6P0"
"ARNT2",9915,"68303555","NP_055677","Q7Z3A3; X5DQN9; Q8IYC2; O15024; Q9HBZ2; Q86TN1; B4DIS7"
"ARNTL",406,"1034573681; 1198817756; 1198817746; 1198817789; 1198817750; 1034573683; 71852580; 1198817778; 1198817725; 1198817782; 1198817774; 1198817791; 1198817766; 1198817742; 1198817708; 767965913; 1034573692; 1034573707; 42716311; 1198817764; 1198817784; 1370459411; 1198817740; 1198817723; 1198817730; 578820543; 1034573685; 1034573698; 663071003; 1198817734; 663071001; 1034573687; 767965909; 71852582; 663070999; 1198817732; 1198817717; 1198817772","XP_006718297; XP_024304290; NP_001169; NP_001338733; NP_001338752; NP_001284651; NP_001338738; NP_001338743; NP_001338744; NP_001338753; XP_011518407; XP_016873230; NP_001338735; NP_001338745; NP_001338747; XP_011518413; XP_016873228; XP_016873237; NP_001338734; NP_001338736; NP_001338739; NP_001338740; NP_001338749; NP_001025444; NP_001284648; NP_001338737; NP_001338741; NP_001338750; XP_016873227; XP_016873233; NP_001284653; XP_011518409; XP_011518411; NP_001338742; NP_001338751; NP_001025443; NP_001338746; NP_001338748","Q99631; Q99649; B5ME11; O00327; A0A140VKD3; Q4G136; B2RCL8; O00317; D3DQW6; O00315; O00316; Q8IUT4; O00314; B7WPG7; A2I2N6; A8K645; O00313"
"ARNTL2",56938,"767972187; 767972194; 351721480; 578822951; 351721450; 578822955; 767972198; 1034580688; 351721535; 767972196; 1034580680; 351721418; 767972192; 1034580683; 1034580685; 1370462409; 1370462411; 31745180","XP_006719175; XP_011519068; XP_024304840; XP_011519072; NP_064568; XP_016875155; XP_016875158; XP_024304839; NP_001234933; XP_016875156; NP_001234931; NP_001234932; XP_016875157; NP_001234934; XP_006719177; XP_011519070; XP_011519071; XP_011519073","Q8WYA1; B7Z429; Q9NYQ4; Q9NYQ5; Q8WYA3; Q9H2M4; Q9NS70; Q8WYA2; Q96J63; F5H402; Q8WYA4"
